Admirals Road	2	8			1	1	After 'Admirals House', built by Kenneth MacKenzie, Bailiff of Craigflower farm. Originally the trail, now paved road, was used to deliver fresh bread and milk to the residents of said house.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Aldebury Street	1	2				1	After Aldebury in Worcestershire, England. The street was named by Councillor George Mathews in 1921.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Alexander Road	2	5	5			1	In honour of Robert Allan Anderson, Chairman of Public Works and craftsman for W.J. Mable's Carriage Works.		Esquimalt
Anderson Avenue						0			Esquimalt
Anson Crescent						1	An extension of Anson Street.		Esquimalt
Anson Street						0			Esquimalt
Aral Street						0			Esquimalt
Arcadia Street	2	8			1	1	After 'Arcadia Estate' a home owned by Ian Coltart, manager/director of the Province Publishing Company. 	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Arm Street						0			Esquimalt
Astle Street	2	5	10			1	Renamed in honour of Thomas Astle, a Civil Engineer during the early development of the Esquimalt municipality.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Beatty Street	1	5	19			1	After Vice-Admiral Sir David Beatty, commander of the HMS Lion at the Battle of Jutland (North Sea) in 1916.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Bewdley Avenue	1	2				1	Renamed after Bewdley in Worcestershire, England by Councillor George Mathews.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Blair Mclean Drive						0			Esquimalt
Bryden Court	3	5	1			1	In honour of John Bryden, a Scottish businessman who manageed the Dunsmuir Coal Mines in Nanaimio.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Cairn Road	2	1				1	Some street names in the neighbourhood were chosen to evoke an impression of an established urban neighbourhood. Cairn Road was one of these. A Cairn is a mound of rough stones built as a memorial or landmark, typically on a hilltop or skyline.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Campbell Street						0			Esquimalt
Canteen Road	1	9				1			Esquimalt
Carlisle Avenue	1	2				1	After Carlisle, in Cumberland, England.		Esquimalt
Carlton Terrace						0			Esquimalt
Caroline Road	1	6				1	After Sattelite-class corvette HMS Caroline of the British Royal Navy stationed in the Pacific between 1886 to 1888. 	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Carrie Street						0			Esquimalt
Cave Street	1	5	5			1	After highly respected Esquimalt councillor Wiliam 'Billy' J. Cave.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Clent Street						0			Esquimalt
Clifton Terrace	1	2				1	After Clifton, in Worcestershire, England.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Codville Place						0			Esquimalt
Coles Street						0			Esquimalt
Colville Road	3	5	1			1	After businessman Lord Andrew Colville, governor and prominent investor of the HBC. He succesfully negociated the merger of HBC with the Northwest Company.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Comerford Street						0			Esquimalt
Condor Avenue	1	6				1	After Condor-class sloop, HMS Condor of the Royal Navy. She dissapeared off of Cape Flattery during a storm in 1901 on her way from Esquimalt to Honalulu.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Constance Avenue	1	6				1	After fourth-rate frigate HMS Constance of the Royal Navy and captained by George William Courtenay. The Constance was the first naval ship to harbour in Esquimalt and be permanently based in the area in 1848. Constance Cove and Constance Bank are also named in her honour.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Craddock Street	1	5	19			1	In Honour of rear admiral Sir Christopher Cradock who went down with his ship the HMS Good Hope after an engagement by the Imperial Geman Navy in 1914. Cradock is spelt with one 'D' while the street after him uses two.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
Craigflower Road	1	8				1			Esquimalt
Cunningham Road	5	5	19			1	After Andrew Browne Cunningham, 1st Viscount Cunningham of Hyndhope who was appointed Allied Naval Commander Expeditionary Force for operation 'Torch' - the Allied invasion of French North Africa in 1942. He participated in the Second Boer War, WWI and WWII and has achieved an impressive list of awards and accolades throughout his military career.	Robinson, Sherri K. Esquimalt Streets and Roads A History. 1995, Sherri K Robinson.	Esquimalt
De Costa Place						0			Esquimalt
