Allenby Street	1	5	3			1	The present name was given in honor of  Field Marshall Viscount Allenby following World War I.	https://www.oakbay.ca/our-community/history/archives/research/street-names	Oak Bay
Anscomb Place	1	5	5			1	Named for Herbert Anscomb, 1892-1972, a former Mayor of Oak Bay (1925), mayor of Victoria (1928-31), and a cabinet minister in the BC provincial government.	https://www.oakbay.ca/our-community/history/archives/research/street-names	Oak Bay
Arden Road						0			Oak Bay
Armstrong Avenue						0			Oak Bay
Ashdowne Road	1	9				1	HBC named street ending in 'downe'.	https://www.oakbay.ca/our-community/history/archives/research/street-names	Oak Bay
Avondale Road	1	9				1	Named by Hudson's Bay Company Land Department, Winnipeg (Manitoba).	https://www.oakbay.ca/our-community/history/archives/research/street-names	Oak Bay
Barkley Terrace	1	5	9			1	Named for Captain Charles William Barkley, an early British explorer and maritime fur trader (ca. 1787).	https://www.oakbay.ca/our-community/history/archives/research/street-names	Oak Bay
Bartlett Avenue	1	5	7			1	Named for Alfred T. Bartlett, an early resident of Oak Bay.	https://www.oakbay.ca/our-community/history/archives/research/street-names	Oak Bay
Beach Drive						0			Oak Bay
Beaverbrooke Place						0			Oak Bay
Bee Street						0			Oak Bay
Beresford Street	1	5	26			1	Renamed for Admiral, Lord Charles Beresford, one time First Lord of the Admiralty in Britain, (1846-1919).	https://www.oakbay.ca/our-community/history/archives/research/street-names	Oak Bay
Bowker Avenue	9	5	7			1	Named for John Sylvester Bowker, 1867-1935, early resident of the District and son-in-law of John Tod. After spending time in the Caribou Gold Fields, he settled into a farming career on San Juan Island. Bowker married Tod's daughter Mary and together they aquired the Tod's expansive Willows District estate. This farmland was eventually given to the Municipality of Oak Bay.		Oak Bay
Bowker Place	9	5	7			1	Derived from the name of the J.S. Bowker residence, Bowker Place (formerly Oak Bay Farm) presently at 1931 Bowker Place.		Oak Bay
Brighton Avenue						0			Oak Bay
Broom Road						0			Oak Bay
Burdick Avenue		5	27			1	After the Burdick brothers who helped develop land in this part of Oak Bay.		Oak Bay
Byng Street	1	5	3			1	Renamed for Field Marshall Julian Byng. Byng was a commanding officer in WWI, and soonafter was created Viscount Byng of Vimy. He was also the 12th Governor General of Canada.	https://www.oakbay.ca/sites/default/files/archives/OakBayStreets.pdf	Oak Bay
